"team","round.2","conf.finals","finals","champs"
"TB","68.2%","44.3%","28.6%","21.1%"
"STL","71.9%","44.9%","30.8%","14%"
"BOS","83.2%","38.2%","20.7%","13.5%"
"CAR","51.8%","32.8%","15.6%","10.1%"
"WSH","48.2%","29.4%","13.8%","8.8%"
"CGY","64.8%","39.8%","18.3%","6.3%"
"NYI","60.2%","24.9%","9.7%","5.6%"
"NSH","56.4%","26.2%","15.3%","5.5%"
"CBJ","31.8%","15%","6.8%","3.8%"
"SJ","62.5%","30.5%","12%","3.4%"
"DAL","43.6%","17.6%","9.2%","2.7%"
"PIT","39.8%","12.9%","4.2%","1.9%"
"WPG","28.1%","11.3%","5.3%","1.3%"
"COL","35.2%","16.3%","5.3%","1.2%"
"VGK","37.5%","13.5%","3.9%","0.7%"
"TOR","16.8%","2.4%","0.5%","0.1%"
